wire if_bj_taken_w;
[435000][MEM-SIGNAL] MEMREAD=0 MEMWRITE=0 | WIDTH_SE=0 OFFSET=0 | ALU_RESULT=00000000 RS2_DATA=00000000 | MEM_ADDR=000 DIN0=00000000 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[445000][MEM-SIGNAL] MEMREAD=0 MEMWRITE=0 | WIDTH_SE=0 OFFSET=0 | ALU_RESULT=00000000 RS2_DATA=00000000 | MEM_ADDR=000 DIN0=00000000 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[455000][MEM-SIGNAL] MEMREAD=0 MEMWRITE=0 | WIDTH_SE=0 OFFSET=0 | ALU_RESULT=00000000 RS2_DATA=00000000 | MEM_ADDR=000 DIN0=00000000 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[465000][MEM-SIGNAL] MEMREAD=0 MEMWRITE=0 | WIDTH_SE=0 OFFSET=0 | ALU_RESULT=00000000 RS2_DATA=00000002 | MEM_ADDR=000 DIN0=00000010 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[475000][MEM-SIGNAL] MEMREAD=0 MEMWRITE=0 | WIDTH_SE=0 OFFSET=0 | ALU_RESULT=00000000 RS2_DATA=00000000 | MEM_ADDR=000 DIN0=00000000 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[485000][MEM-SIGNAL] MEMREAD=0 MEMWRITE=0 | WIDTH_SE=0 OFFSET=0 | ALU_RESULT=00000000 RS2_DATA=00000000 | MEM_ADDR=000 DIN0=00000000 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[495000][MEM-SIGNAL] MEMREAD=0 MEMWRITE=0 | WIDTH_SE=0 OFFSET=0 | ALU_RESULT=00000000 RS2_DATA=00000000 | MEM_ADDR=000 DIN0=00000000 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[505000][MEM-SIGNAL] MEMREAD=0 MEMWRITE=0 | WIDTH_SE=0 OFFSET=0 | ALU_RESULT=00000000 RS2_DATA=00000001 | MEM_ADDR=000 DIN0=00000001 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[515000][MEM-SIGNAL] MEMREAD=0 MEMWRITE=0 | WIDTH_SE=0 OFFSET=0 | ALU_RESULT=00000000 RS2_DATA=00000000 | MEM_ADDR=000 DIN0=00000000 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[525000][MEM-SIGNAL] MEMREAD=0 MEMWRITE=0 | WIDTH_SE=0 OFFSET=0 | ALU_RESULT=00000000 RS2_DATA=00000000 | MEM_ADDR=000 DIN0=00000000 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[535000][MEM-SIGNAL] MEMREAD=0 MEMWRITE=0 | WIDTH_SE=0 OFFSET=0 | ALU_RESULT=00000000 RS2_DATA=00000000 | MEM_ADDR=000 DIN0=00000000 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[545000][MEM-SIGNAL] MEMREAD=0 MEMWRITE=0 | WIDTH_SE=0 OFFSET=0 | ALU_RESULT=00000000 RS2_DATA=00000002 | MEM_ADDR=000 DIN0=00000010 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[555000][MEM-SIGNAL] MEMREAD=0 MEMWRITE=0 | WIDTH_SE=0 OFFSET=0 | ALU_RESULT=00000000 RS2_DATA=00000000 | MEM_ADDR=000 DIN0=00000000 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[565000][MEM-SIGNAL] MEMREAD=0 MEMWRITE=0 | WIDTH_SE=0 OFFSET=0 | ALU_RESULT=00000000 RS2_DATA=00000000 | MEM_ADDR=000 DIN0=00000000 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[575000][MEM-SIGNAL] MEMREAD=0 MEMWRITE=0 | WIDTH_SE=0 OFFSET=0 | ALU_RESULT=00000000 RS2_DATA=00000000 | MEM_ADDR=000 DIN0=00000000 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[585000][MEM-SIGNAL] MEMREAD=0 MEMWRITE=0 | WIDTH_SE=0 OFFSET=0 | ALU_RESULT=00000000 RS2_DATA=00000001 | MEM_ADDR=000 DIN0=00000001 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[595000][MEM-SIGNAL] MEMREAD=0 MEMWRITE=0 | WIDTH_SE=0 OFFSET=0 | ALU_RESULT=00000000 RS2_DATA=00000000 | MEM_ADDR=000 DIN0=00000000 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[605000][MEM-SIGNAL] MEMREAD=0 MEMWRITE=0 | WIDTH_SE=0 OFFSET=0 | ALU_RESULT=00000000 RS2_DATA=00000000 | MEM_ADDR=000 DIN0=00000000 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[615000][MEM-SIGNAL] MEMREAD=0 MEMWRITE=0 | WIDTH_SE=0 OFFSET=0 | ALU_RESULT=00000000 RS2_DATA=00000000 | MEM_ADDR=000 DIN0=00000000 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[625000][MEM-SIGNAL] MEMREAD=0 MEMWRITE=0 | WIDTH_SE=0 OFFSET=0 | ALU_RESULT=00000008 RS2_DATA=00000000 | MEM_ADDR=002 DIN0=00000000 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[635000][MEM-SIGNAL] MEMREAD=0 MEMWRITE=0 | WIDTH_SE=0 OFFSET=0 | ALU_RESULT=00000000 RS2_DATA=00000000 | MEM_ADDR=000 DIN0=00000000 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[645000][MEM-SIGNAL] MEMREAD=0 MEMWRITE=0 | WIDTH_SE=0 OFFSET=0 | ALU_RESULT=00000000 RS2_DATA=00000000 | MEM_ADDR=000 DIN0=00000000 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[655000][MEM-SIGNAL] MEMREAD=0 MEMWRITE=0 | WIDTH_SE=0 OFFSET=0 | ALU_RESULT=00000000 RS2_DATA=00000000 | MEM_ADDR=000 DIN0=00000000 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[665000][MEM-SIGNAL] MEMREAD=0 MEMWRITE=0 | WIDTH_SE=0 OFFSET=1 | ALU_RESULT=00000001 RS2_DATA=00000000 | MEM_ADDR=000 DIN0=00000000 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[675000][MEM-SIGNAL] MEMREAD=0 MEMWRITE=0 | WIDTH_SE=0 OFFSET=0 | ALU_RESULT=00000000 RS2_DATA=00000000 | MEM_ADDR=000 DIN0=00000000 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[685000][MEM-SIGNAL] MEMREAD=0 MEMWRITE=0 | WIDTH_SE=0 OFFSET=0 | ALU_RESULT=00000000 RS2_DATA=00000000 | MEM_ADDR=000 DIN0=00000000 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[695000][MEM-SIGNAL] MEMREAD=0 MEMWRITE=0 | WIDTH_SE=0 OFFSET=0 | ALU_RESULT=00000000 RS2_DATA=00000000 | MEM_ADDR=000 DIN0=00000000 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[705000][MEM-SIGNAL] MEMREAD=0 MEMWRITE=0 | WIDTH_SE=0 OFFSET=1 | ALU_RESULT=00000001 RS2_DATA=00000000 | MEM_ADDR=000 DIN0=00000000 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[715000][MEM-SIGNAL] MEMREAD=0 MEMWRITE=0 | WIDTH_SE=0 OFFSET=2 | ALU_RESULT=00000002 RS2_DATA=00000000 | MEM_ADDR=000 DIN0=00000000 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[725000][MEM-SIGNAL] MEMREAD=0 MEMWRITE=0 | WIDTH_SE=0 OFFSET=3 | ALU_RESULT=00000003 RS2_DATA=00000000 | MEM_ADDR=000 DIN0=00000000 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[735000][MEM-SIGNAL] MEMREAD=0 MEMWRITE=0 | WIDTH_SE=0 OFFSET=0 | ALU_RESULT=00000004 RS2_DATA=00000000 | MEM_ADDR=001 DIN0=00000000 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[745000][MEM-SIGNAL] MEMREAD=0 MEMWRITE=0 | WIDTH_SE=0 OFFSET=1 | ALU_RESULT=00000005 RS2_DATA=00000000 | MEM_ADDR=001 DIN0=00000000 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[755000][MEM-SIGNAL] MEMREAD=0 MEMWRITE=0 | WIDTH_SE=0 OFFSET=3 | ALU_RESULT=00000003 RS2_DATA=00000002 | MEM_ADDR=000 DIN0=00000000 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[765000][MEM-SIGNAL] MEMREAD=0 MEMWRITE=0 | WIDTH_SE=0 OFFSET=2 | ALU_RESULT=00000002 RS2_DATA=00000001 | MEM_ADDR=000 DIN0=00000000 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[775000][MEM-SIGNAL] MEMREAD=0 MEMWRITE=0 | WIDTH_SE=0 OFFSET=0 | ALU_RESULT=00000004 RS2_DATA=00000002 | MEM_ADDR=001 DIN0=00000010 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[785000][MEM-SIGNAL] MEMREAD=0 MEMWRITE=0 | WIDTH_SE=0 OFFSET=1 | ALU_RESULT=00000001 RS2_DATA=00000002 | MEM_ADDR=000 DIN0=00000000 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
[795000][MEM-SIGNAL] MEMREAD=0 MEMWRITE=0 | WIDTH_SE=0 OFFSET=1 | ALU_RESULT=00000001 RS2_DATA=00000002 | MEM_ADDR=000 DIN0=00000000 DIN1=00000000 DIN2=00000000 DIN3=00 | LOAD_DATA=xxxxxxxx
